,Joke
82,say ca get decent job without educ look albert einstein drop-out still end first man moon
83,past anoth countri properti cheaper
84,wife ca children like
85,date pe teacher moment liter embrac childhood fear
86,best trade ever made
87,white ca jump refriger
88,go kid need set good exampl grandkid
89,ca lose home pigeon home pigeon come back lost pigeon
90,heard secret servic chang command ca say get anymor presid attack donald duck
91,tell pirat fallen modern technolog ipatch give away
92,free time stalk realli enjoy walk park go movi friend know
93,man drop phone concret floor phone fine damag come airplan mode
94,think smoke use narcot yeah whatev hang sometim
95,call shotgun cop put back anyway
96,recent studi say masturb 2 time week increas life expect 20 done math jealou immort
97,got fire job bank today old ladi came ask check balanc push
98,use two kidney grew
99,dr bad new jim jim doc dr stop masturb jim oh god dr talk
100,appreci badass chines make languag total tattoo symbol
101,dad donat present orphanag son dad ahv someth play take
102,seen cat late ling nope seen dad late jamal
103,get man never lay finger walk life
104,one twin ugli
105,made delici vegan hotdog
106,one thing muslim man ca white peopl play prank intern airport
107,like liber anyth work class anyth apart mix
108,6 afraid 7 7 black
109,asian grade scale averag b bad c catastroph disown f forgotten forev
110,oregon lead america marit infidel clinic depress sad state affair
111,find obes joke horribl think enough plate
112,oh think drop high school bet realli success life
113,wish white peopl took joke well take land cultur
114,cow friend food name one cow friend mom
115,dog love glad live china
116,know lot joke unemploy peopl none work
117,call polic offic sleep bag pig blanket
118,call fratboy suit defend
119,suffer pm wife get suffer
